trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2022-01-04,000300.SH,4917.7653,4957.9835,4961.4527,4874.5337,4940.3733,-22.608,-0.4576,151534776.0,336516961.627
2022-01-05,000300.SH,4868.1202,4907.9347,4916.2822,4851.9835,4917.7653,-49.6451,-1.0095,178816100.0,363944528.848
2022-01-06,000300.SH,4818.2318,4842.156,4857.5596,4786.433,4868.1202,-49.8884,-1.0248,157665826.0,321750076.5
2022-01-07,000300.SH,4822.3689,4824.3181,4856.6522,4818.1931,4818.2318,4.1371,0.0859,187139413.0,332218950.735
2022-01-10,000300.SH,4844.0451,4812.23,4844.3928,4780.8191,4822.3689,21.6762,0.4495,156211696.0,305033816.784
2022-01-11,000300.SH,4797.7735,4840.0087,4850.879,4791.8854,4844.0451,-46.2716,-0.9552,146928004.0,286445756.034
2022-01-12,000300.SH,4845.5787,4818.8902,4852.7314,4810.919,4797.7735,47.8052,0.9964,143200204.0,293153042.845
2022-01-13,000300.SH,4765.9191,4853.0314,4853.0632,4765.2416,4845.5787,-79.6596,-1.644,142519653.0,288799117.043
2022-01-14,000300.SH,4726.7317,4743.9124,4764.0522,4723.9428,4765.9191,-39.1874,-0.8222,146863126.0,281828448.517
2022-01-17,000300.SH,4767.2762,4728.7595,4775.2385,4726.7083,4726.7317,40.5445,0.8578,115295691.0,263788241.676
2022-01-18,000300.SH,4813.3472,4766.7811,4826.3003,4747.92,4767.2762,46.071,0.9664,150870802.0,282749393.139
2022-01-19,000300.SH,4780.3784,4815.8106,4828.7522,4755.9301,4813.3472,-32.9688,-0.6849,133927360.0,275534557.469
2022-01-20,000300.SH,4823.5091,4778.2616,4845.0048,4777.5683,4780.3784,43.1307,0.9022,164971315.0,304344267.971
2022-01-21,000300.SH,4779.3142,4808.7733,4818.3052,4762.5641,4823.5091,-44.1949,-0.9162,138952585.0,274699155.294
2022-01-24,000300.SH,4786.7377,4753.9413,4801.0976,4746.4479,4779.3142,7.4235,0.1553,114463880.0,246261594.853
2022-01-25,000300.SH,4678.4511,4761.95,4781.3908,4678.2472,4786.7377,-108.2866,-2.2622,133667586.0,250555769.168
2022-01-26,000300.SH,4712.3109,4697.0991,4718.9946,4648.1283,4678.4511,33.8598,0.7237,107070842.0,226553448.357
2022-01-27,000300.SH,4619.8765,4708.0989,4708.4364,4616.0273,4712.3109,-92.4344,-1.9616,121263804.0,250535654.824
2022-01-28,000300.SH,4563.772,4641.8137,4660.519,4559.8331,4619.8765,-56.1045,-1.2144,126480112.0,263967891.828
2022-02-07,000300.SH,4634.0899,4638.5754,4672.6535,4615.0052,4563.772,70.3179,1.5408,144849720.0,266031793.985
2022-02-08,000300.SH,4608.7729,4626.4365,4626.4365,4522.4709,4634.0899,-25.317,-0.5463,155830708.0,281364873.763
2022-02-09,000300.SH,4652.0609,4608.1491,4659.4611,4595.2826,4608.7729,43.288,0.9393,148335547.0,273771960.506
2022-02-10,000300.SH,4639.8625,4657.2107,4657.2107,4608.0905,4652.0609,-12.1984,-0.2622,151576666.0,287224388.086
2022-02-11,000300.SH,4601.3953,4617.8741,4662.5963,4595.8751,4639.8625,-38.4672,-0.8291,155974584.0,307938016.715
2022-02-14,000300.SH,4551.6878,4579.4202,4593.6324,4530.0566,4601.3953,-49.7075,-1.0803,143673894.0,275737553.467
2022-02-15,000300.SH,4600.1025,4553.8112,4601.453,4550.543,4551.6878,48.4147,1.0637,115025600.0,249977008.675
